sample_id	source_words	source_npz_sha256	human_review_status	manual_evidence_present	manual_review_date	manual_human_observation	manual_timing_status	manual_audio_status	manual_vision_status	manual_note	original_needs_review	source_exact_word_boundaries_manually_verified	automatic_timing_words	automatic_text_words	automatic_audio_words	automatic_vision_words	automatic_all_modalities_words	human_timing_unsupported_words	human_timing_unknown_words	human_timing_supported_words	review_filtered_timing_candidate_words	review_filtered_audio_word_candidate_words	review_filtered_vision_word_candidate_words	review_filtered_multimodal_candidate_words	strict_human_confirmed_timing_words	original_features_retained
sample_0090	9	88a6fb5b642b6b873f7de3bac0aa6eee931c579dc95b87bc30c688d252fca61d	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	8	9	8	8	8	0	9	0	8	8	8	8	0	true
sample_0091	11	3c6c43aee30f605d11e1d64c849322811e779112eb73700275f8e61d90d48475	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	11	11	11	11	11	0	11	0	11	11	11	11	0	true
sample_0092	24	3b18f1c2b72b07ca67499b5dcfe0ccc9de0b7d46f627249072bd5d9ab56efbf3	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	24	24	24	24	24	0	24	0	24	24	24	24	0	true
sample_0093	19	647fbf57fef6cb67aea21e940eece4ed05e4d0cb3502e4b079eaca9cfa2c3c3b	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	19	19	19	19	19	0	19	0	19	19	19	19	0	true
sample_0094	9	3d4c6664c23af45dbc29847c22de2adb77eb65bf7da2ab3bca19bc4ce73e00ae	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	9	9	9	9	9	0	9	0	9	9	9	9	0	true
sample_0095	28	805d2b2c3d156f29d306e0526ce45fead4859e768288d2fa69ff805b5ef4f74d	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	28	28	28	20	20	0	28	0	28	28	20	20	0	true
sample_0096	5	80d4221ef5fd535ae9700f154da6e876ce15b7a7fb00d959e45b05c45819c353	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	5	5	5	5	5	0	5	0	5	5	5	5	0	true
sample_0097	13	59a0db596c2d7131d7440b62da9ae85b063ff31ac474632da32cfa948fd188d6	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	12	13	12	12	12	0	13	0	12	12	12	12	0	true
sample_0098	49	b984479e10dfd694e852a8122562c3f45e1cf636b48638b64ad924365ef58d1c	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	49	49	49	49	49	0	49	0	49	49	49	49	0	true
sample_0099	25	6294ec518071b1a1c6dc62948327628f67aef150f0ca54fa2dd37f26d6ee7875	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	25	25	25	25	25	0	25	0	25	25	25	25	0	true
sample_0100	19	03610cd476a230cf2b8c48bf6d2a41699345a615f9b6a2ce05337166179e2594	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	19	19	19	19	19	0	19	0	19	19	19	19	0	true
